Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780437119128,1780437149144,298454,298454,10049819,13629666,544768,7831551,13107199,73924607,182452223,264241151,322961407,0,0,0,0,0,298454,0,0,0,0,0,0,100
warmup,getAllFruits,1780436969118,1780437089146,1000678,1000678,11986790,21239631,544768,7995391,17432575,93323263,224395263,792723455,1694498815,0,0,0,0,0,1000678,0,0,0,0,0,0,100
