procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   1768 390928192      0 289888    0    0     2     1    0    0  0  0 100  0  0
 1  0   1768 390827552      0 349024    0    0 59748     0 8369 7063  4  0 95  1  0
 4  0   1768 390770976      0 353592    0    0  4364   956 9467 7087  3  1 96  0  0
 3  0   1768 390714400      0 357736    0    0  4064    88 9279 5551  5  1 94  0  0
 2  0   1768 390669120      0 373364    0    0 17016     0 5023 6847  3  0 96  0  0
 3  0   1768 390650240      0 382980    0    0 12220    36 4002 5142  2  0 97  0  0
 0  0   1768 390625344      0 384524    0    0  1168     4 1209  969  1  0 99  0  0
17  0   1768 390576448      0 387260    0    0  2404     0 5483 21639  5  0 95  0  0
27  0   1768 390572224      0 387348    0    0    96   840 8429 30654  6  1 93  0  0
34  0   1768 390525600      0 387548    0    0   188    60 8119 30861  7  1 93  0  0
25  0   1768 390524032      0 387552    0    0     0    40 8905 36832  7  1 93  0  0
26  0   1768 390523776      0 387576    0    0    20    44 9510 39630  6  1 93  0  0
43  0   1768 390523296      0 387640    0    0    56     4 9641 42801  6  1 93  0  0
42  0   1768 390500384      0 387648    0    0     0    84 9891 43767  6  1 93  0  0
36  0   1768 390498112      0 387648    0    0     0    12 11038 50163  6  1 92  0  0
23  0   1768 390491712      0 387660    0    0     0     0 11962 51617  7  2 91  0  0
29  0   1768 390479456      0 387612    0    0     0     4 10781 52860  6  2 92  0  0
26  0   1768 390475168      0 387616    0    0     0    40 10525 58288  5  2 93  0  0
32  0   1768 390474688      0 387696    0    0     0     4 10896 60454  5  2 93  0  0
21  0   1768 390461568      0 387696    0    0     0    12 10718 62666  5  2 93  0  0
27  0   1768 390460544      0 387712    0    0    16     0 11210 65215  5  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
27  0   1768 390460064      0 387720    0    0     0     0 11530 68351  5  2 92  0  0
32  0   1768 390460384      0 387724    0    0     0     4 11636 73248  5  2 92  0  0
27  0   1768 390460160      0 387724    0    0     4   132 11982 76951  5  3 92  0  0
29  0   1768 390457504      0 387816    0    0     0     4 13070 81138  5  3 92  0  0
23  0   1768 390452896      0 387840    0    0     0     0 13456 86388  5  3 92  0  0
39  0   1768 390452736      0 387848    0    0     0    16 14177 90777  5  3 92  0  0
21  0   1768 390451584      0 387868    0    0     0     0 14511 92024  5  3 92  0  0
29  0   1768 390450688      0 387956    0    0     0     4 15204 127515  5  3 92  0  0
39  0   1768 390450400      0 387972    0    0     0    44 15808 181883  5  3 92  0  0
17  0   1768 390450304      0 387988    0    0     0     4 15756 108034  5  3 92  0  0
34  0   1768 390449856      0 388008    0    0     0     0 15292 118774  5  3 92  0  0
25  0   1768 390450976      0 388028    0    0     0    12 15758 102212  5  3 92  0  0
31  0   1768 390450560      0 388044    0    0     0    80 15367 102508  5  3 92  0  0
22  0   1768 390451360      0 388060    0    0     0     4 15313 153004  5  3 92  0  0
36  0   1768 390451616      0 388072    0    0     0    40 15841 109662  5  3 92  0  0
20  0   1768 390452992      0 388100    0    0     0     4 15566 101801  5  3 92  0  0
41  0   1768 390453888      0 388112    0    0     0     0 15378 130668  5  4 92  0  0
