Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780430968671,1780430998685,294571,294571,10181797,6708751,520192,8978431,14155775,44040191,64225279,88604671,121634815,0,0,0,0,0,294571,0,0,0,0,0,0,100
warmup,getAllFruits,1780430818662,1780430938690,1004500,1004500,11941684,18450484,536576,9175039,16908287,58982399,261095423,696254463,1107296255,0,0,0,0,0,1004500,0,0,0,0,0,0,100
