Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780422983724,1780423013735,445071,445071,6736508,5189863,368640,5537791,13369343,24510463,38535167,60817407,127926271,0,0,0,0,0,445071,0,0,0,0,0,0,100
warmup,getAllFruits,1780422833714,1780422953738,1331718,1331718,9006269,14035098,348160,6815743,17563647,39059455,104857599,293601279,1585446911,0,0,0,0,0,1331718,0,0,0,0,0,0,100
