Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780423662134,1780423692146,414679,414679,7230819,5379113,411648,6029311,14221311,25559039,37486591,58458111,97517567,0,0,0,0,0,414679,0,0,0,0,0,0,100
warmup,getAllFruits,1780423512123,1780423632148,1019693,1019693,11763552,15011147,391168,7864319,25296895,63176703,128450559,385875967,1052770303,0,0,0,0,0,1019693,0,0,0,0,0,0,100
