procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 390608832      0 331216    0    0     1     1    0    0  0  0 100  0  0
 1  0      0 390517728      0 386340    0    0 55080     0 7633 6393  4  0 96  0  0
 3  0      0 390432288      0 390540    0    0  4108   956 10703 6736  4  1 96  0  0
 4  0      0 390348288      0 393688    0    0  3108     0 11312 5507  5  1 94  0  0
 3  0      0 390326784      0 408528    0    0 16560    12 5266 6930  3  0 96  0  0
 3  0      0 390249152      0 418372    0    0 16712    32 4515 6090  2  0 97  0  0
 0  0      0 390208128      0 421376    0    0  2060     4 1663 1313  1  0 99  0  0
 8  0      0 390166464      0 423344    0    0  1936  1008 4033 9487  3  0 97  0  0
28  0      0 390159008      0 424148    0    0   532     8 8859 24145  6  1 93  0  0
18  0      0 390119968      0 424160    0    0    48     0 9125 26498  6  1 93  0  0
35  0      0 390116192      0 424204    0    0    40     8 10613 31053  7  1 92  0  0
21  0      0 390115264      0 424288    0    0     4    44 10310 29585  7  1 93  0  0
20  0      0 390115264      0 424352    0    0    56    36 10304 31166  6  1 93  0  0
27  0      0 390113984      0 424448    0    0    88     0 10276 36114  6  1 93  0  0
27  0      0 390113984      0 424452    0    0     0    12 11318 35562  6  1 93  0  0
25  0      0 390093824      0 424464    0    0     0     0 10905 33900  6  1 93  0  0
27  0      0 390088032      0 424472    0    0     0     4 11257 35787  6  1 93  0  0
26  0      0 390085056      0 424484    0    0     8   124 11765 37628  6  1 93  0  0
34  0      0 390080768      0 424508    0    0     0    36 12805 39645  7  1 92  0  0
29  0      0 390073216      0 424568    0    0     0    12 12209 38513  6  1 93  0  0
33  0      0 390073216      0 424576    0    0     0     0 12442 41129  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
31  0      0 390074112      0 424552    0    0     0     0 12383 41661  6  1 93  0  0
15  0      0 390073632      0 424564    0    0     0     4 12174 42495  6  1 93  0  0
20  0      0 390068064      0 424568    0    0     0    96 12203 43520  6  1 93  0  0
17  0      0 390067840      0 424580    0    0     0    16 12449 44644  6  2 93  0  0
24  0      0 390068576      0 424600    0    0     0     0 13032 47479  6  2 93  0  0
18  0      0 390065568      0 424616    0    0    16   200 13809 50439  6  2 93  0  0
35  0      0 390065792      0 424628    0    0     0     0 13402 50022  6  2 93  0  0
20  0      0 390065600      0 424636    0    0     4    76 14072 53064  6  2 93  0  0
22  0      0 390065344      0 424644    0    0     0    44 14679 56072  5  2 93  0  0
28  0      0 390064832      0 424620    0    0     0     4 14657 54840  5  2 93  0  0
31  0      0 390068192      0 427108    0    0     4     0 15630 57254  6  2 92  0  0
32  0      0 390067936      0 427124    0    0     0   680 15710 58950  6  2 92  0  0
20  0      0 390067968      0 427128    0    0     0    52 15504 59078  6  2 92  0  0
20  0      0 390068736      0 427136    0    0     0     4 15819 61801  5  2 93  0  0
33  0      0 390068736      0 427152    0    0     0    40 16561 64136  5  2 93  0  0
27  0      0 390067744      0 427172    0    0     0     4 16738 65808  5  2 93  0  0
33  0      0 390067488      0 427184    0    0     0     8 17066 70471  5  2 92  0  0
22  0      0 390067264      0 427196    0    0     0    60 18293 74967  5  2 92  0  0
24  0      0 390067104      0 427244    0    0     0     0 18711 78652  5  3 92  0  0
29  0      0 390064096      0 427264    0    0     0     4 19783 86062  5  3 92  0  0
25  0      0 390051776      0 427348    0    0     0    44 19788 114957  5  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
30  0      0 390050560      0 427360    0    0     0     8 21451 92116  5  3 92  0  0
37  0      0 390050016      0 427384    0    0     0    72 21720 127298  5  3 92  0  0
21  0      0 390050400      0 427400    0    0     0    12 20696 106225  5  3 92  0  0
39  0      0 390039808      0 427420    0    0     0     4 20851 98240  5  3 92  0  0
27  0      0 390040224      0 427432    0    0     0     4 20560 120293  5  3 92  0  0
25  0      0 390040224      0 427452    0    0     0    40 20957 120916  5  3 92  0  0
27  0      0 390040896      0 427476    0    0     0   432 23326 102846  5  3 92  0  0
20  0      0 390025600      0 427492    0    0     0   368 23108 101229  5  3 92  0  0
37  0      0 390025728      0 427508    0    0     0    12 21850 131229  5  3 92  0  0
34  0      0 390026432      0 427596    0    0     0     0 22692 116966  5  3 92  0  0
24  0      0 390028352      0 427612    0    0     0     8 23018 132721  5  3 92  0  0
36  0      0 390027616      0 427632    0    0     0   120 23625 118701  5  4 92  0  0
26  0      0 390028192      0 427652    0    0     0     4 23163 119899  5  4 92  0  0
29  0      0 390027648      0 427704    0    0     0     0 21218 137953  5  3 92  0  0
35  0      0 390028416      0 427716    0    0     0    12 23364 154262  5  4 92  0  0
33  0      0 390027232      0 427740    0    0     0     0 22229 152817  5  3 92  0  0
32  0      0 390026560      0 427756    0    0     0    88 22578 118967  5  3 92  0  0
27  0      0 390025216      0 427744    0    0     0    44 21665 110324  5  3 92  0  0
33  0      0 390025280      0 427764    0    0     0     4 22571 146598  5  4 92  0  0
16  0      0 390025664      0 427852    0    0    20    12 25281 118569  5  4 92  0  0
22  0      0 390024384      0 427868    0    0     4    52 23140 165750  5  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32  0      0 390022624      0 427892    0    0     0    84 23860 137842  5  4 92  0  0
25  0      0 390021888      0 427912    0    0     0     4 22826 185736  4  4 92  0  0
24  0      0 390022176      0 427928    0    0     0    40 22053 160717  4  4 92  0  0
24  0      0 390021536      0 427880    0    0     0     4 22256 296140  4  4 92  0  0
25  0      0 390021024      0 427900    0    0     0     0 23759 261322  4  4 92  0  0
25  0      0 390020864      0 427920    0    0     0    12 24341 186789  4  4 92  0  0
27  0      0 390019456      0 427968    0    0     0    92 21639 223989  4  4 92  0  0
36  0      0 390019136      0 427996    0    0     0     4 23381 139423  4  4 92  0  0
20  0      0 390018144      0 428088    0    0     0    44 24167 169029  4  4 91  0  0
13  0      0 390017216      0 428104    0    0     0     4 22634 184420  4  4 91  0  0
22  0      0 390017696      0 428036    0    0     0   280 22979 206199  4  4 91  0  0
38  0      0 390016800      0 428052    0    0     0   104 23378 237796  4  4 91  0  0
29  0      0 390016928      0 428076    0    0     0     0 22629 280653  4  4 92  0  0
21  0      0 390017376      0 428096    0    0     0     4 22446 223326  4  4 92  0  0
13  0      0 390015936      0 428120    0    0     0    40 23953 234270  4  4 92  0  0
16  0      0 390015904      0 428136    0    0     0    76 24435 371832  4  4 92  0  0
33  0      0 390015872      0 428156    0    0     0   152 24646 361972  4  4 91  0  0
37  0      0 390016736      0 428180    0    0     0     0 24547 434665  4  5 92  0  0
39  0      0 390014528      0 428364    0    0     0     0 24272 568333  4  4 92  0  0
36  0      0 390014368      0 428292    0    0     0     4 23752 654189  4  4 92  0  0
32  0      0 390014464      0 428316    0    0     0    44 23643 547374  4  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
40  0      0 390012000      0 428340    0    0     0   100 24718 356402  4  5 91  0  0
32  0      0 390011328      0 428356    0    0     0     0 23082 429732  4  5 91  0  0
37  0      0 390011232      0 428392    0    0     0    12 21572 487480  4  4 92  0  0
14  0      0 390010880      0 428416    0    0     0     0 23266 186169  4  5 91  0  0
34  0      0 390011200      0 428436    0    0     0     4 24617 329525  4  5 91  0  0
42  0      0 390012320      0 428464    0    0     0   156 24536 225098  4  5 91  0  0
18  0      0 390012640      0 428548    0    0     0     8 23172 559461  4  5 92  0  0
28  0      0 390016256      0 429036    0    0     0     0 22951 509433  4  5 91  0  0
37  0      0 390020128      0 429060    0    0     0    12 24008 733755  4  5 91  0  0
32  0      0 390023552      0 428988    0    0     0     0 21299 595772  4  5 92  0  0
29  0      0 390024352      0 429008    0    0     0   108 22100 584489  4  5 91  0  0
31  0      0 390023328      0 429036    0    0     0    40 22688 592877  3  5 91  0  0
