Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/20/2026 	_x86_64_	(64 CPU)

12:06:27 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:07:47 PM  1000    277893  239.00  123.00    0.00    0.00  362.00     0  java
12:07:48 PM  1000    277893  240.00  122.00    0.00    0.00  362.00     0  java
12:07:49 PM  1000    277893  239.00  122.00    0.00    0.00  361.00     0  java
12:07:50 PM  1000    277893  236.00  124.00    0.00    0.00  360.00     0  java
12:07:51 PM  1000    277893  239.00  119.00    0.00    0.00  358.00     0  java
12:07:52 PM  1000    277893  237.00  125.00    0.00    0.00  362.00     0  java
12:07:53 PM  1000    277893  239.00  123.00    0.00    0.00  362.00     0  java
12:07:54 PM  1000    277893  235.00  126.00    0.00    0.00  361.00     0  java
12:07:55 PM  1000    277893  242.00  119.00    0.00    0.00  361.00     0  java
12:07:56 PM  1000    277893  238.00  122.00    0.00    0.00  360.00     0  java
12:07:57 PM  1000    277893  241.00  121.00    0.00    0.00  362.00     0  java
12:07:58 PM  1000    277893  239.00  124.00    0.00    0.00  363.00     0  java
12:07:59 PM  1000    277893  241.00  121.00    0.00    0.00  362.00     0  java
12:08:00 PM  1000    277893  233.00  128.00    0.00    0.00  361.00     0  java
12:08:01 PM  1000    277893  239.00  122.00    0.00    0.00  361.00     0  java
12:08:02 PM  1000    277893  233.00  126.00    0.00    0.00  359.00     0  java
12:08:03 PM  1000    277893  241.00  119.00    0.00    0.00  360.00     0  java
12:08:04 PM  1000    277893  237.00  126.00    0.00    0.00  363.00     0  java
12:08:05 PM  1000    277893  237.00  124.00    0.00    0.00  361.00     0  java
12:08:06 PM  1000    277893  242.00  119.00    0.00    0.00  361.00     0  java
12:08:07 PM  1000    277893  234.00  126.00    0.00    0.00  360.00     0  java
12:08:08 PM  1000    277893  237.00  125.00    0.00    0.00  362.00     0  java
12:08:09 PM  1000    277893  241.00  121.00    0.00    0.00  362.00     0  java
12:08:10 PM  1000    277893  237.00  124.00    0.00    0.00  361.00     0  java
12:08:11 PM  1000    277893  236.00  125.00    0.00    0.00  361.00     0  java
12:08:12 PM  1000    277893  239.00  123.00    0.00    0.00  362.00     0  java
12:08:13 PM  1000    277893  238.00  122.00    0.00    0.00  360.00     0  java
12:08:14 PM  1000    277893  238.00  122.00    0.00    0.00  360.00     0  java
12:08:15 PM  1000    277893  242.00  120.00    0.00    0.00  362.00     0  java
12:08:16 PM  1000    277893  237.00  122.00    0.00    0.00  359.00     0  java
12:08:17 PM  1000    277893  238.00  120.00    0.00    0.00  358.00     0  java
12:08:18 PM  1000    277893  237.00  123.00    0.00    0.00  360.00     0  java
12:08:19 PM  1000    277893  239.00  121.00    0.00    0.00  360.00     0  java
12:08:20 PM  1000    277893  234.00  124.00    0.00    0.00  358.00     0  java
12:08:21 PM  1000    277893  239.00  121.00    0.00    0.00  360.00     0  java
12:08:22 PM  1000    277893  239.00  123.00    0.00    0.00  362.00     0  java
12:08:23 PM  1000    277893  235.00  127.00    0.00    0.00  362.00     0  java
12:08:24 PM  1000    277893  237.00  124.00    0.00    0.00  361.00     0  java
