Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780439211898,1780439241943,64380,64380,46625494,60264472,1433600,25034751,122159103,291504127,423624703,549453823,692060159,0,0,0,0,0,64380,0,0,0,0,0,0,100
warmup,getAllFruits,1780439061888,1780439181954,260738,260738,46022613,58748519,1409024,26345471,114819071,293601279,425721855,545259519,784334847,0,0,0,0,0,260738,0,0,0,0,0,0,100
