Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780439457427,1780439487481,64767,64767,46362298,60199028,1433600,24903679,118489087,295698431,425721855,524287999,767557631,0,0,0,0,0,64767,0,0,0,0,0,0,100
warmup,getAllFruits,1780439307417,1780439427471,258694,258694,46383933,60963886,1400832,25559039,116916223,304087039,440401919,608174079,826277887,0,0,0,0,0,258694,0,0,0,0,0,0,100
