Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780426012987,1780426042999,441156,441156,6797781,2357601,991232,7372799,9175039,12386303,15466495,20447231,29884415,0,0,0,0,0,441156,0,0,0,0,0,0,100
warmup,getAllFruits,1780425862977,1780425983001,1622670,1622670,7391460,6223834,614400,7405567,9895935,22544383,63438847,220200959,645922815,0,0,0,0,0,1622670,0,0,0,0,0,0,100
