Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780435673415,1780435703466,98138,98138,30596799,28307620,1032192,24510463,60555263,143654911,250609663,346030079,385875967,0,0,0,0,0,98138,0,0,0,0,0,0,100
warmup,getAllFruits,1780435523405,1780435643452,296458,296458,40473838,44489836,1081344,29097983,87556095,206569471,325058559,956301311,1061158911,0,0,0,0,0,296458,0,0,0,0,0,0,100
