Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780433543944,1780433573989,107237,107237,27988921,43398918,1003520,9371647,87556095,197132287,293601279,387973119,536870911,0,0,0,0,0,107237,0,0,0,0,0,0,100
warmup,getAllFruits,1780433393935,1780433513978,423667,423667,28319825,44090804,995328,9633791,87556095,199229439,304087039,419430399,570425343,0,0,0,0,0,423667,0,0,0,0,0,0,100
