Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780423908509,1780423938520,418296,418296,7168661,5527302,380928,5865471,14221311,26083327,40632319,61865983,118489087,0,0,0,0,0,418296,0,0,0,0,0,0,100
warmup,getAllFruits,1780423758499,1780423878525,964585,964585,12436117,15192460,391168,8126463,27787263,65798143,119537663,417333247,897581055,0,0,0,0,0,964585,0,0,0,0,0,0,100
