procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   2184 388675136      0 1214840    0    0     0   360 18477 109815  6  2 92  0  0
 6  0   2184 388629824      0 1220020    0    0    32    12 18988 109785  8  2 90  0  0
 5  0   2184 388582720      0 1221544    0    0     0     0 18627 111452  7  2 90  0  0
 4  0   2184 388511296      0 1222616    0    0     0    24 18653 108993  6  2 91  0  0
 8  0   2184 388502400      0 1223300    0    0     0     0 19429 111974  7  2 91  0  0
 4  0   2184 388502944      0 1223856    0    0     0     8 18260 112370  7  2 91  0  0
 4  0   2184 388613600      0 1224416    0    0     0     8 19149 112069  7  2 91  0  0
 7  0   2184 388563040      0 1226452    0    0     0     0 20248 110596  8  2 90  0  0
 7  0   2184 388560928      0 1227016    0    0     0     0 18531 111078  6  2 91  0  0
 8  0   2184 388526432      0 1228212    0    0     0    28 18638 109519  7  2 91  0  0
 6  0   2184 388524960      0 1228860    0    0     0   132 18101 111870  6  2 91  0  0
 5  0   2184 388511168      0 1235248    0    0    84     4 21515 110637  8  2 89  0  0
 7  0   2184 388510080      0 1236388    0    0     0     0 21979 109302  9  2 89  0  0
 5  0   2184 388472896      0 1236952    0    0     0     0 19822 108577  8  2 89  0  0
 5  0   2184 388359520      0 1228768    0    0    80     8 21242 107454  9  2 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   2184 388359552      0 1229672    0    0   128 38584 18851 112785  7  2 91  0  0
 6  0   2184 388415872      0 1230664    0    0     0    24 19674 112758  7  2 91  0  0
 4  0   2184 388435904      0 1232328    0    0     0   112 20852 110494  7  2 91  0  0
 7  0   2184 388581056      0 1232888    0    0     0   620 19909 110441  7  2 91  0  0
 6  0   2184 388580160      0 1234080    0    0     0     8 18399 109991  7  2 91  0  0
 5  0   2184 388560064      0 1235232    0    0     4  1172 18997 109852  7  2 91  0  0
 4  0   2184 388479744      0 1240512    0    0    16    28 19302 111929  7  2 90  0  0
 4  0   2184 388506752      0 1241500    0    0     0   292 19351 111495  7  2 91  0  0
 6  0   2184 388548576      0 1242152    0    0     0     0 19385 110559  7  2 91  0  0
 6  0   2184 388603744      0 1243084    0    0     0   248 21023 112949  7  2 91  0  0
 5  0   2184 388600096      0 1243968    0    0   128     8 18887 110699  7  2 91  0  0
 4  0   2184 388665792      0 1244524    0    0     0     0 19101 112823  7  2 91  0  0
 6  0   2184 388658496      0 1245084    0    0     0    12 18903 109098  7  2 91  0  0
 4  0   2184 388655712      0 1246280    0    0     0     0 17775 101050  6  2 91  0  0
 4  0   2184 388548800      0 1247388    0    0     0     0 18369 108114  7  2 91  0  0
 7  0   2184 388535552      0 1248932    0    0     0   160 18603 104672  7  2 91  0  0
 5  0   2184 388466624      0 1254968    0    0   124     8 19628 108510  8  2 90  0  0
 6  0   2184 388482784      0 1256048    0    0     0     8 19615 108635  7  2 91  0  0
 6  0   2184 388541376      0 1256608    0    0     0     4 19238 112974  6  2 91  0  0
 6  0   2184 388520192      0 1257688    0    0     0     8 20173 111409  7  2 91  0  0
 4  0   2184 388523424      0 1258360    0    0     0 31800 18765 111022  7  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   2184 388581056      0 1259008    0    0     0     4 18615 106002  6  2 91  0  0
 5  0   2184 388581952      0 1259648    0    0     0     0 18638 110083  7  2 91  0  0
 8  0   2184 388583712      0 1260216    0    0     0     0 18741 112184  7  2 91  0  0
 7  0   2184 388607904      0 1260852    0    0     0    12 18694 112874  7  2 91  0  0
 4  0   2184 388582528      0 1262632    0    0    16   128 19438 111610  8  2 90  0  0
 5  0   2184 388524448      0 1267588    0    0   144    12 18777 111196  7  2 91  0  0
 6  0   2184 388471680      0 1268376    0    0   104     0 19356 110518  7  2 91  0  0
 5  0   2184 388476576      0 1269368    0    0     0     0 19171 112825  7  2 91  0  0
 6  0   2184 388561248      0 1270068    0    0    64     8 20013 112381  7  2 91  0  0
 7  0   2184 388492864      0 1272472    0    0   128     4 20047 111448  8  2 90  0  0
 4  0   2184 388501536      0 1273120    0    0     0    12 19423 111934  7  2 91  0  0
 7  0   2184 388533472      0 1274268    0    0   584    76 18941 113181  7  2 91  0  0
 8  0   2184 388580864      0 1274820    0    0     0   420 20970 111042  7  2 91  0  0
 5  0   2184 388579712      0 1276048    0    0     0   196 18858 110809  6  2 91  0  0
 4  0   2184 388495936      0 1277244    0    0     0   592 18898 110749  7  2 91  0  0
 5  0   2184 388487552      0 1282972    0    0     0    20 19016 106968  7  2 91  0  0
 9  0   2184 388460032      0 1284492    0    0     0     8 20010 111881  7  2 90  0  0
 7  0   2184 388474048      0 1285580    0    0     0   352 19940 110713  7  2 91  0  0
 8  0   2184 388562144      0 1286480    0    0   220     0 20002 112213  7  2 91  0  0
 7  0   2184 388576224      0 1288112    0    0     0   248 20039 112484  8  2 90  0  0
 6  0   2184 388572672      0 1288696    0    0     0 30504 18982 110445  6  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0   2184 388553216      0 1289256    0    0     0     4 18472 112931  6  2 91  0  0
 6  0   2184 388512256      0 1290512    0    0     0     8 18615 111397  7  2 91  0  0
 8  0   2184 388506656      0 1291524    0    0     0     0 18896 110127  7  2 91  0  0
 5  0   2184 388492480      0 1292628    0    0    16   140 19012 112543  7  2 91  0  0
 8  0   2184 388459712      0 1297980    0    0     0    24 19172 108522  8  2 90  0  0
 4  0   2184 388428768      0 1299068    0    0     0     0 18644 112607  6  2 91  0  0
 6  0   2184 388408928      0 1300128    0    0    96    16 19294 109243  7  2 90  0  0
 1  0   2184 388404224      0 1301152    0    0    84     0 13485 68066  5  1 93  0  0
 0  0   2184 388614400      0 1301744    0    0     4     0 1611 2147  1  0 99  0  0
 0  0   2184 388668576      0 1302752    0    0     0     8 3094 2215  1  0 99  0  0
 0  0   2184 388669312      0 1302772    0    0     0     0 1082 1976  0  0 100  0  0
 0  0   2184 388669536      0 1302800    0    0     0     0 1015 1803  0  0 100  0  0
 0  0   2184 388658880      0 1303256    0    0     0     4 1320 2172  0  0 100  0  0
 3  0   2184 388657920      0 1303284    0    0     0   128 1514 1911  0  0 100  0  0
 0  0   2184 388634464      0 1308224    0    0     0     4 3099 2413  1  0 99  0  0
 0  0   2184 388634976      0 1308252    0    0     0     0  965 1809  0  0 100  0  0
 0  0   2184 388635424      0 1308276    0    0     0     0  990 1778  0  0 100  0  0
 1  0   2184 388739616      0 1308808    0    0     0     0 2911 2873  1  0 99  0  0
 0  0   2184 388792096      0 1308952    0    0     0     4 1421 2094  0  0 99  0  0
 0  0   2184 388793024      0 1308980    0    0     0     0 1174 2115  0  0 100  0  0
 0  0   2184 388793312      0 1309008    0    0     0 22360 1128 2133  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   2184 388781984      0 1309340    0    0     0     4 1150 1792  0  0 100  0  0
 0  0   2184 388812448      0 1309376    0    0     0   356 1166 2058  0  0 100  0  0
 0  0   2184 388813216      0 1309396    0    0    20   128 1038 1862  0  0 100  0  0
 1  0   2184 388848288      0 1309512    0    0     0   204 3810 2507  1  0 98  0  0
 1  0   2184 388827776      0 1309536    0    0     0    12 2345 2010  2  0 98  0  0
 0  0   2184 388749120      0 1300032    0    0     0     0 2340 2333  1  0 98  0  0
 1  0   2184 388748864      0 1300060    0    0     0    64 1816 2471  0  0 99  0  0
 0  0   2184 388748832      0 1300200    0    0     0   284 1298 1930  0  0 100  0  0
 0  0   2184 388748576      0 1300224    0    0     0   248 1303 2450  0  0 100  0  0
 0  0   2184 388748608      0 1300248    0    0     0    24 1029 1889  0  0 100  0  0
 0  0   2184 388749024      0 1300276    0    0     0     0  980 1769  0  0 100  0  0
 0  0   2184 388749024      0 1300300    0    0     0     0 1068 1937  0  0 100  0  0
 0  0   2184 388749248      0 1300324    0    0     0   128 1034 1742  0  0 100  0  0
 0  0   2184 388749248      0 1300348    0    0     0     0 1201 2210  0  0 100  0  0
 0  0   2184 388750304      0 1300372    0    0     0    12 1010 1793  0  0 100  0  0
 0  0   2184 388750688      0 1300400    0    0     0  8700 1053 1857  0  0 100  0  0
 1  0   2184 388752320      0 1300428    0    0     0     0 1846 2366  0  0 99  0  0
 0  0   2184 388753792      0 1300568    0    0     0     4 1352 1968  0  0 100  0  0
 3  0   2184 388702016      0 1300592    0    0     0     0 5311 6971  3  0 96  0  0
 2  0   2184 388599072      0 1300864    0    0     4   392 9198 6746  3  1 96  0  0
 0  0   2184 388585376      0 1300896    0    0     0  9428 2941 2921  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0   2184 388555840      0 1301028    0    0     0   132 9658 28941  4  1 95  0  0
 7  0   2184 388542336      0 1301068    0    0     0     0 24569 99570  8  2 90  0  0
 9  0   2184 388508928      0 1301624    0    0   128     0 24909 115649  8  2 89  0  0
10  0   2184 388570080      0 1302196    0    0     0   440 20835 112596  8  2 90  0  0
 5  0   2184 388679616      0 1302848    0    0     0    36 19075 110888  7  2 91  0  0
10  0   2184 388746912      0 1303424    0    0     0     0 20290 107067  7  2 91  0  0
 5  0   2184 388735360      0 1305096    0    0     0    16 18821 109405  7  2 90  0  0
 4  0   2184 388733632      0 1305820    0    0    72     0 18818 112664  7  2 91  0  0
 6  0   2184 388707136      0 1306944    0    0    16     0 18773 109561  7  2 91  0  0
 6  0   2184 388714432      0 1307612    0    0     0   180 18832 112700  6  2 91  0  0
 4  0   2184 388714592      0 1308188    0    0     0   264 18580 111350  7  2 91  0  0
 4  0   2184 388637088      0 1309756    0    0   128   600 18554 113122  7  2 91  0  0
 6  0   2184 388547200      0 1313728    0    0     0   212 18812 110329  7  2 90  0  0
 7  0   2184 388548704      0 1314404    0    0     0    12 18689 114466  6  2 91  0  0
 4  0   2184 388514272      0 1315060    0    0     0 12568 18740 112873  7  2 91  0  0
 5  0   2184 388515584      0 1315696    0    0    68    48 19905 112803  7  2 91  0  0
 5  0   2184 388549760      0 1316460    0    0     0     8 19362 113206  7  2 91  0  0
 5  0   2184 388555840      0 1317720    0    0     0   348 19814 112306  7  2 91  0  0
 8  0   2184 388516768      0 1318372    0    0     0   260 18645 113535  7  2 91  0  0
 6  0   2184 388518048      0 1319896    0    0     0     0 20204 111878  7  2 90  0  0
 7  0   2184 388556128      0 1320544    0    0     0   136 18772 105813  6  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   2184 388502208      0 1322712    0    0    16    48 18996 102424  8  2 90  0  0
 6  0   2184 388501696      0 1328964    0    0     0     4 18874 108424  8  2 90  0  0
 7  0   2184 388492320      0 1329608    0    0     0     8 18748 110413  6  2 91  0  0
 6  0   2184 388492000      0 1330176    0    0     0    16 18790 114205  7  2 91  0  0
 7  0   2184 388504288      0 1331344    0    0     0     0 20065 111526  7  2 91  0  0
 7  0   2184 388572512      0 1332576    0    0     0     8 20107 109830  7  2 90  0  0
 4  0   2184 388572480      0 1333228    0    0     0     0 18605 104306  6  2 92  0  0
 9  0   2184 388580032      0 1334228    0    0     0    48 19296 111116  7  2 91  0  0
 5  0   2184 388654080      0 1334796    0    0     0   216 20175 112455  7  2 91  0  0
 7  0   2184 388618048      0 1335856    0    0     0 23804 20060 110312  7  2 91  0  0
 5  0   2184 388578528      0 1337068    0    0     0   132 19056 112757  7  2 91  0  0
 6  0   2184 388570432      0 1342104    0    0     0    12 19466 111860  8  2 90  0  0
 6  0   2184 388544320      0 1342676    0    0     0    48 19118 110462  7  2 91  0  0
 4  0   2184 388531904      0 1343760    0    0     0   108 18980 112282  7  2 91  0  0
 7  0   2184 388531936      0 1344428    0    0     0     0 19245 114867  7  2 91  0  0
 1  0   2184 388593824      0 1345276    0    0    32     4 15280 78042  6  2 92  0  0
 0  0   2184 388805760      0 1345876    0    0   244     8 1948 2857  0  0 100  0  0
 0  0   2184 388808064      0 1346824    0    0     0     0 2466 2099  1  0 99  0  0
 0  0   2184 388748448      0 1347468    0    0    36   164 2326 2273  0  0 100  0  0
