procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   2184 390252192      0 980144    0    0     2     2    0    0  0  0 100  0  0
 4  0   2184 390171648      0 989128    0    0  6956  1040 13391 9507  6  1 93  0  0
 4  0   2184 390095776      0 1000760    0    0 11532     0 14150 8074  5  1 94  0  0
 3  0   2184 390033248      0 1009532    0    0  8732  3776 7114 5633  3  0 96  0  0
 3  0   2184 390004704      0 1012836    0    0  2956    28 4599 4068  4  0 96  0  0
 3  0   2184 389933120      0 1023100    0    0 10220    32 7579 5690  5  0 94  0  0
 2  0   2184 389914848      0 1031108    0    0 10184     4 6774 8526  5  0 95  0  0
 3  0   2184 389810144      0 1043808    0    0 12076   620 4815 6123  3  0 97  0  0
 1  0   2184 389762592      0 1048636    0    0  6652   900 5730 5647  4  0 96  0  0
 8  0   2184 389731840      0 1050148    0    0  1392     0 3824 4400  4  0 96  0  0
 7  0   2184 389687072      0 1053464    0    0  1836    48 8562 9784  8  0 92  0  0
 7  0   2184 389666400      0 1056564    0    0  3460    96 7766 11177  7  0 93  0  0
 9  0   2184 389621664      0 1057296    0    0   332   528 8076 12814  7  1 93  0  0
 8  0   2184 389611040      0 1057468    0    0    68  2340 9188 15741  7  1 92  0  0
 9  0   2184 389573376      0 1057728    0    0   304     0 9506 18063  7  1 93  0  0
 7  0   2184 389555712      0 1058060    0    0   180     0 10580 24413  7  1 92  0  0
 9  0   2184 389551232      0 1058208    0    0    40    64 11438 28443  7  1 92  0  0
10  0   2184 389504288      0 1058820    0    0   468    40 11310 27896  7  1 92  0  0
 8  0   2184 389439264      0 1052156    0    0   464   864 13421 30038  8  1 91  0  0
 8  0   2184 389419104      0 1052300    0    0     0    64 10070 25979  8  1 91  0  0
 7  0   2184 389382016      0 1054536    0    0   936     8 12432 34153  8  1 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
