Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780431897242,1780431927261,278762,278762,10760268,7584465,573440,9633791,14286847,49545215,82837503,111149055,160432127,0,0,0,0,0,278762,0,0,0,0,0,0,100
warmup,getAllFruits,1780431747233,1780431867262,980472,980472,12234417,14584156,569344,9568255,17956863,63438847,154140671,612368383,784334847,0,0,0,0,0,980472,0,0,0,0,0,0,100
