Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780427425663,1780427455684,163116,163116,18392335,13263106,761856,15597567,35127295,63438847,95944703,121110527,144703487,0,0,0,0,0,163116,0,0,0,0,0,0,100
warmup,getAllFruits,1780427275652,1780427395680,653729,653729,18350313,13270994,765952,15532031,35389439,61865983,92798975,143654911,320864255,0,0,0,0,0,653729,0,0,0,0,0,0,100
