procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 391268224      0 317100    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 391213600      0 364040    0    0 46496     0 3752 3955  0  0 99  0  0
 1  0      0 391194880      0 364068    0    0    52    16 6710 3549  0  1 99  0  0
 3  0      0 391122272      0 366112    0    0  2156     0 6401 4872  2  0 98  0  0
 1  0      0 391087744      0 382716    0    0 18752    16 5284 6997  3  0 97  0  0
 2  0      0 391045696      0 392536    0    0 10340    36 4312 4311  3  0 97  0  0
 2  0      0 391043680      0 392780    0    0   224     4  432  400  0  0 100  0  0
 6  0      0 390970496      0 396464    0    0  3524     0 7131 12697  5  0 95  0  0
 4  0      0 390893664      0 396688    0    0    12  1200 9631 18861  6  1 93  0  0
 8  0      0 390840000      0 396728    0    0     0     0 8548 24906  6  1 93  0  0
 9  0      0 390773120      0 396744    0    0     8   560 9325 26848  7  1 92  0  0
 9  0      0 390673824      0 396760    0    0     8    76 11349 38769  7  1 92  0  0
 9  0      0 390641760      0 396848    0    0    52     4 17677 67707  7  1 92  0  0
 6  0      0 390600640      0 396860    0    0     4    12 22862 91870  7  2 92  0  0
10  0      0 390603136      0 396856    0    0     0     0 28577 113344  6  2 92  0  0
 8  0      0 390606112      0 396932    0    0     0     0 36693 137172  6  2 92  0  0
 9  0      0 390607168      0 396940    0    0     0     4 36955 140148  6  3 91  0  0
 7  0      0 390604192      0 396944    0    0     0    40 40428 148831  6  3 91  0  0
 7  0      0 390605408      0 396956    0    0     0     4 45398 156977  6  3 91  0  0
 7  0      0 390605152      0 396960    0    0     0     0 43317 161792  6  3 91  0  0
12  0      0 390608416      0 396968    0    0    16   268 50947 177443  6  3 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 390607136      0 396972    0    0     0     0 54633 193702  6  4 90  0  0
12  0      0 390604928      0 396980    0    0     0     4 63226 205337  6  4 90  0  0
10  0      0 390599072      0 396984    0    0     0    40 76044 245130  6  5 89  0  0
 6  0      0 390604000      0 396992    0    0     0     4 87461 308321  6  6 89  0  0
11  0      0 390608960      0 399768    0    0     4     0 91529 313299  6  6 88  0  0
 7  0      0 390610464      0 399776    0    0     0     4 87839 306920  6  6 89  0  0
 9  0      0 390610080      0 399784    0    0     0     0 84603 314717  6  6 89  0  0
 9  0      0 390611744      0 399788    0    0     0    36 87847 308615  6  6 89  0  0
10  0      0 390612320      0 399796    0    0     0    44 86236 314301  6  6 89  0  0
 8  0      0 390605248      0 399800    0    0     4   540 87931 318491  6  6 89  0  0
11  0      0 390601856      0 399808    0    0     0     8 85001 310100  6  6 89  0  0
 8  0      0 390602880      0 399816    0    0     0     0 88112 305443  6  6 89  0  0
11  0      0 390601312      0 399820    0    0     0     0 87042 312604  6  6 89  0  0
11  0      0 390594656      0 399832    0    0     0     4 80733 312443  6  6 89  0  0
 5  0      0 390593120      0 399836    0    0     0    40 87141 314665  6  6 89  0  0
 5  0      0 390587488      0 399844    0    0     0     4 87008 314150  6  6 89  0  0
 9  0      0 390582944      0 399848    0    0     0     8 78708 308085  6  6 89  0  0
 9  0      0 390579712      0 399856    0    0    16   300 83262 313023  6  6 89  0  0
11  0      0 390575808      0 399860    0    0     0     0 83611 317230  6  6 89  0  0
 8  0      0 390569632      0 399868    0    0     0    92 80727 317295  6  6 89  0  0
 8  0      0 390565408      0 399876    0    0     0   452 81354 309034  6  6 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 390566816      0 399880    0    0     0     4 90007 318506  6  6 89  0  0
 8  0      0 390567136      0 399896    0    0     0     0 80593 309047  6  6 89  0  0
13  0      0 390565184      0 399940    0    0     0     8 81884 312564  6  6 89  0  0
 9  0      0 390562304      0 399920    0    0     0     0 81306 311234  6  6 89  0  0
11  0      0 390562944      0 399780    0    0     0     4 84574 312819  6  6 89  0  0
 9  0      0 390560192      0 399788    0    0     0    40 87774 308213  5  6 89  0  0
 9  0      0 390557632      0 399800    0    0     0     8 82019 311274  6  6 89  0  0
 8  0      0 390552448      0 399804    0    0     0     0 80806 311926  6  6 89  0  0
11  0      0 390557056      0 399812    0    0     0    80 85276 316564  6  6 89  0  0
13  0      0 390552128      0 399756    0    0     0     0 83388 314316  6  6 89  0  0
 9  0      0 390552320      0 399764    0    0     0     8 86874 312060  6  6 89  0  0
 6  0      0 390551360      0 399768    0    0     0    40 83786 311637  6  6 89  0  0
 7  0      0 390547104      0 399776    0    0     0     4 81201 315629  6  6 89  0  0
11  0      0 390541600      0 399784    0    0     0     8 87698 318615  6  6 88  0  0
10  0      0 390535584      0 399788    0    0     0     0 84126 314616  6  6 89  0  0
12  0      0 390528128      0 399796    0    0     0     0 85439 317611  5  6 89  0  0
 7  0      0 390532800      0 399800    0    0    16    16 87898 313070  6  6 89  0  0
 7  0      0 390527872      0 399812    0    0     0    44 89532 312409  6  6 89  0  0
12  0      0 390527168      0 399816    0    0     0    76 92415 313461  6  6 89  0  0
 6  0      0 390524320      0 399824    0    0     0     0 80841 311181  6  6 89  0  0
 7  0      0 390520576      0 399828    0    0     0     8 87488 311302  5  6 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0      0 390514784      0 399836    0    0     0     0 90596 306552  5  6 89  0  0
 8  0      0 390512544      0 399844    0    0     0     8 88849 315481  5  6 89  0  0
 7  0      0 390509120      0 399984    0    0     0    40 90977 308191  6  6 89  0  0
 9  0      0 390505472      0 399992    0    0     0     4 87824 314271  6  6 89  0  0
12  0      0 390500928      0 400000    0    0     0     0 79349 315846  6  6 89  0  0
 9  0      0 390502496      0 400012    0    0    20     8 84039 310765  6  6 89  0  0
12  0      0 390499392      0 400016    0    0     0    12 84898 317526  6  6 89  0  0
 8  0      0 390496896      0 400024    0    0     0   184 83649 315019  6  6 89  0  0
 8  0      0 390495808      0 400032    0    0     0   100 87011 316785  6  6 89  0  0
 5  0      0 390487296      0 400036    0    0     0     4 84680 316456  6  6 89  0  0
 8  0      0 390479136      0 400044    0    0     0     4 89109 312500  6  6 89  0  0
 6  0      0 390477056      0 400048    0    0     0     0 86752 308996  6  6 89  0  0
 6  0      0 390473632      0 400132    0    0     0     0 89414 309659  6  6 89  0  0
 9  0      0 390471008      0 400136    0    0     0     4 85809 318464  6  6 89  0  0
 8  0      0 390465952      0 400144    0    0     0    40 83548 307179  6  6 89  0  0
 8  0      0 390465184      0 400148    0    0     0     4 85930 310775  6  6 89  0  0
12  0      0 390457568      0 400156    0    0     0     8 85456 311080  6  6 89  0  0
 9  0      0 390454976      0 400164    0    0     0    76 87313 318969  6  6 89  0  0
 6  0      0 390449120      0 400168    0    0     0     0 88358 311692  6  6 89  0  0
16  0      0 390448288      0 400176    0    0     0     4 92303 312473  6  6 89  0  0
 6  0      0 390444992      0 400184    0    0     0    40 86846 314447  6  6 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 390441312      0 400192    0    0     0     4 90702 317460  6  6 89  0  0
11  0      0 390435328      0 400700    0    0     0     0 86160 314176  6  6 88  0  0
10  0      0 390430912      0 400724    0    0     0     8 92308 310191  5  6 89  0  0
 9  0      0 390425408      0 400732    0    0     0     0 92062 310098  6  6 89  0  0
 6  0      0 390421376      0 400736    0    0     0     4 90952 318228  6  6 89  0  0
 9  0      0 390415904      0 400744    0    0     0    56 93505 317785  6  6 89  0  0
10  0      0 390410144      0 400748    0    0     0   536 82276 312258  6  6 89  0  0
10  0      0 390405184      0 400760    0    0     0     0 82599 320701  6  6 89  0  0
13  0      0 390398400      0 400764    0    0     0     8 88358 318333  6  6 89  0  0
 9  0      0 390392736      0 400772    0    0     0     0 83880 313709  6  6 89  0  0
 6  0      0 390390208      0 400776    0    0     0     4 88797 315210  6  6 89  0  0
13  0      0 390389216      0 400852    0    0     0    40 92400 316353  6  6 88  0  0
 5  0      0 390384896      0 400860    0    0     0     4 86170 319447  6  6 88  0  0
11  0      0 390382720      0 400864    0    0     0     4 90144 312608  6  6 89  0  0
12  0      0 390379936      0 400872    0    0     0     4 89888 311985  6  6 89  0  0
 9  0      0 390376224      0 400884    0    0     0    12 86400 308122  6  6 89  0  0
 7  0      0 390371648      0 400892    0    0     0    84 93694 314858  6  6 89  0  0
11  0      0 390369024      0 400896    0    0     0    68 89669 306331  6  6 89  0  0
 8  0      0 390361888      0 400904    0    0     0     8 84736 308349  6  6 89  0  0
12  0      0 390359136      0 400912    0    0     0     0 91056 309684  6  6 89  0  0
