procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
49  0      0 390226624      0 482132    0    0     0    16 23260 909029  4  4 92  0  0
 1  0      0 390230496      0 482140    0    0     0     0 23405 843541  4  4 93  0  0
24  0      0 390225152      0 482148    0    0     0     0 25987 141173  4  3 92  0  0
43  0      0 390219168      0 482156    0    0     0     4 24187 783613  4  4 93  0  0
23  0      0 390222368      0 482232    0    0     0    40 24433 868302  4  4 92  0  0
75  0      0 390234816      0 482240    0    0     0     4 24206 581470  4  4 92  0  0
52  0      0 390236672      0 482248    0    0     0    20 23878 726092  4  4 92  0  0
38  0      0 390238720      0 482260    0    0     0     0 24232 574768  4  4 92  0  0
49  0      0 390237472      0 482264    0    0     0     0 23639 890529  4  4 92  0  0
20  0      0 390223456      0 482180    0    0     0     4 24898 423603  4  4 92  0  0
57  0      0 390222784      0 482188    0    0     0    40 24678 657118  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0      0 390227584      0 482196    0    0     0     4 23372 962598  4  4 93  0  0
14  0      0 390230912      0 482208    0    0     0     0 23972 608479  4  4 92  0  0
45  0      0 390235552      0 482216    0    0     0    20 22797 1078106  3  4 93  0  0
40  0      0 390244352      0 482732    0    0     0     0 24973 399988  4  4 92  0  0
48  0      0 390250720      0 482736    0    0     0     4 23203 955462  4  4 93  0  0
35  0      0 390250720      0 482748    0    0     0   220 24171 304559  4  4 92  0  0
21  0      0 390242048      0 482752    0    0     0    28 24361 442089  4  3 92  0  0
63  0      0 390244896      0 482768    0    0     0     0 22994 610690  4  4 92  0  0
51  0      0 390249984      0 482772    0    0    68    16 23729 499572  4  4 92  0  0
48  0      0 390253088      0 482852    0    0     0     0 22221 1349275  3  4 93  0  0
36  0      0 390262720      0 482856    0    0     0     8 23884 434570  4  4 92  0  0
60  0      0 390268512      0 482868    0    0     0    40 21594 1508875  3  4 93  0  0
51  0      0 390270784      0 482876    0    0     0     4 23171 925609  4  4 93  0  0
32  0      0 390264320      0 482952    0    0     0    16 24212 492850  4  3 92  0  0
41  0      0 390256096      0 482960    0    0     0     0 23055 591821  4  4 92  0  0
 1  0      0 390258944      0 482968    0    0     0     0 22412 1212610  3  4 93  0  0
21  0      0 390264544      0 482976    0    0     0    16 23134 724344  4  4 92  0  0
46  0      0 390266048      0 482984    0    0     0    40 21334 1085077  4  4 92  0  0
13  0      0 390272960      0 482992    0    0     0     4 21934 622020  4  4 92  0  0
33  0      0 390280576      0 483004    0    0     0     0 22621 667811  4  4 92  0  0
33  0      0 390267904      0 483008    0    0     0    16 24988 453987  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
42  0      0 390258080      0 483020    0    0     0     0 24595 556945  4  4 92  0  0
74  0      0 390259648      0 483024    0    0     0     4 23217 748167  4  4 92  0  0
47  0      0 390263424      0 483108    0    0     0    44 23110 755022  4  4 92  0  0
58  0      0 390268416      0 483112    0    0     0     4 23092 633982  4  4 92  0  0
27  0      0 390275008      0 483124    0    0     0     0 23137 739714  4  4 93  0  0
51  0      0 390265408      0 483132    0    0     0   684 23564 1061701  4  4 93  0  0
71  0      0 390271520      0 483140    0    0     0     0 22884 579050  4  3 92  0  0
18  0      0 390265536      0 483152    0    0     0     4 22103 682689  4  4 93  0  0
53  0      0 390254464      0 483156    0    0     0    40 23668 576962  4  4 92  0  0
47  0      0 390264384      0 483168    0    0     0     4 23526 475085  4  4 92  0  0
13  0      0 390267680      0 483172    0    0     0    16 23781 1045146  4  4 92  0  0
33  0      0 390273024      0 483184    0    0     0     0 22919 612752  4  4 92  0  0
33  0      0 390281728      0 483256    0    0     0     0 23238 499960  4  3 92  0  0
62  0      0 390279360      0 483268    0    0     0     4 23452 341249  4  4 92  0  0
42  0      0 390278624      0 483276    0    0     0    64 21574 1099662  4  4 93  0  0
69  0      0 390285184      0 483284    0    0     0    64 22848 837261  4  4 93  0  0
51  0      0 390273120      0 483292    0    0     0    16 24004 473473  4  4 92  0  0
34  0      0 390271904      0 483300    0    0     0     0 23424 731637  4  4 92  0  0
32  0      0 390270400      0 483308    0    0     0     0 24229 402919  4  4 92  0  0
28  0      0 390280320      0 483316    0    0     0     0 22713 708286  4  4 93  0  0
45  0      0 390281696      0 483324    0    0     0    44 24463 490351  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
66  0      0 390275488      0 483332    0    0     0     8 24795 345378  4  3 92  0  0
50  0      0 390278304      0 483408    0    0     0     0 23989 683337  4  4 92  0  0
48  0      0 390289152      0 483420    0    0     0    16 23084 676048  4  4 92  0  0
54  0      0 390297824      0 483428    0    0     0     0 23719 376344  4  4 92  0  0
22  0      0 390280128      0 483440    0    0     0     4 25070 470610  4  4 92  0  0
39  0      0 390286240      0 483444    0    0     0    52 22816 1236614  3  4 93  0  0
28  0      0 390289088      0 483456    0    0     0     8 24377 301627  4  4 92  0  0
 0  0      0 390288640      0 483776    0    0   144     0 12646 664606  3  2 95  0  0
 0  0      0 390459296      0 483656    0    0    32    16  450  545  0  0 100  0  0
 0  0      0 390459584      0 483664    0    0     0     0  117  169  0  0 100  0  0
 0  0      0 390459808      0 483672    0    0     0     4  141  174  0  0 100  0  0
 0  0      0 390460320      0 483684    0    0     0    44  390  361  0  0 100  0  0
 0  0      0 390460320      0 483692    0    0     0     8  223  344  0  0 100  0  0
 0  0      0 390460320      0 483704    0    0     0    20  155  174  0  0 100  0  0
 0  0      0 390460576      0 483708    0    0     0     0  126  167  0  0 100  0  0
 0  0      0 390460992      0 483788    0    0     0     0  144  182  0  0 100  0  0
 0  0      0 390460992      0 483796    0    0     0     8  204  325  0  0 100  0  0
 0  0      0 390461248      0 483804    0    0     0    40  180  222  0  0 100  0  0
 0  0      0 390461728      0 483812    0    0     0     4  190  204  0  0 100  0  0
 0  0      0 390461728      0 483820    0    0     0     0  122  168  0  0 100  0  0
 0  0      0 390462016      0 483828    0    0     0    16  198  313  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 390463424      0 484336    0    0     0     0  483  320  0  0 100  0  0
 0  0      0 390463648      0 484344    0    0     0     4  151  184  0  0 100  0  0
 0  0      0 390463648      0 484352    0    0     0    40  132  170  0  0 100  0  0
 0  0      0 390463904      0 484360    0    0     0    48  209  325  0  0 100  0  0
 0  0      0 390463424      0 484372    0    0     0   664  118  189  0  0 100  0  0
 0  0      0 390463424      0 484376    0    0     0    16  133  172  0  0 100  0  0
 0  0      0 390463904      0 484388    0    0     0     0  140  187  0  0 100  0  0
 0  0      0 390463904      0 484392    0    0     0     4  256  322  0  0 100  0  0
 0  0      0 390463904      0 484404    0    0     0    44  190  256  0  0 100  0  0
 0  0      0 390464192      0 484408    0    0     0     4  151  178  0  0 100  0  0
 0  0      0 390465696      0 484420    0    0     0     0  419  379  0  0 100  0  0
 0  0      0 390465696      0 484428    0    0     0    16  204  306  0  0 100  0  0
 0  0      0 390465952      0 484436    0    0     0     0  123  162  0  0 100  0  0
 0  0      0 390466688      0 484444    0    0     0     4  149  179  0  0 100  0  0
 0  0      0 390466944      0 484452    0    0     0    48  168  200  0  0 100  0  0
 0  0      0 390466944      0 484460    0    0     0     4  211  314  0  0 100  0  0
 0  0      0 390467712      0 484536    0    0     0    16  179  195  0  0 100  0  0
 1  0      0 390457664      0 484548    0    0     0     0  304  312  0  0 100  0  0
 3  0      0 390443616      0 484676    0    0   124     0 3706 5079  4  0 96  0  0
 3  0      0 390356416      0 484884    0    0     0     0 3119 3328  3  0 97  0  0
 0  0      0 390344128      0 484960    0    0     4   436 1105  848  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 390323712      0 485072    0    0     0     4 14738 491791  4  2 94  0  0
36  0      0 390321312      0 485084    0    0     0     0 24514 506000  6  4 91  0  0
31  0      0 390306272      0 485092    0    0     0    16 24510 571123  5  4 91  0  0
36  0      0 390312480      0 485100    0    0     0     0 25632 255169  5  4 91  0  0
45  0      0 390314016      0 485108    0    0     0     4 23983 575802  4  4 92  0  0
 7  0      0 390323200      0 485120    0    0     0    40 23353 830865  4  4 92  0  0
22  0      0 390329536      0 485132    0    0     0    12 23270 899596  4  4 92  0  0
50  0      0 390328192      0 485136    0    0     0     0 23249 1032167  4  4 92  0  0
53  0      0 390312640      0 485148    0    0     0    16 23825 442665  4  4 92  0  0
66  0      0 390311680      0 485224    0    0     0     0 22162 1141230  4  4 92  0  0
50  0      0 390320736      0 485236    0    0     0     4 22712 1009835  4  4 93  0  0
29  0      0 390322080      0 485240    0    0     0    40 24196 401664  4  3 92  0  0
52  0      0 390320576      0 485252    0    0     0   144 23434 991074  4  4 92  0  0
55  0      0 390327424      0 485256    0    0     0    92 23215 770406  4  4 92  0  0
44  0      0 390311104      0 485268    0    0     0     0 24379 356779  4  3 92  0  0
37  0      0 390292800      0 485276    0    0     0     0 22028 661815  4  4 92  0  0
44  0      0 390301664      0 485284    0    0     0     4 23357 743586  4  4 92  0  0
32  0      0 390305472      0 485292    0    0     0    44 23180 702689  4  4 92  0  0
62  0      0 390310272      0 485304    0    0     0     4 21087 1639726  3  4 93  0  0
50  0      0 390313152      0 485380    0    0     0    16 24009 236377  4  4 92  0  0
35  0      0 390322368      0 485388    0    0     0     0 21469 1232295  4  4 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 390322912      0 485396    0    0     0     0 21927 1431897  3  4 93  0  0
33  0      0 390330752      0 485408    0    0     0     8 23138 867835  4  4 93  0  0
47  0      0 390323520      0 485416    0    0     0    40 22185 1133685  4  4 93  0  0
24  0      0 390321536      0 485424    0    0     0   284 23804 760149  4  4 92  0  0
52  0      0 390321088      0 485432    0    0     0     0 23818 605531  4  4 92  0  0
39  0      0 390319488      0 485440    0    0     0    20 22918 793742  4  4 92  0  0
26  0      0 390323232      0 485448    0    0     0     0 23023 668341  4  4 92  0  0
 9  0      0 390325440      0 485456    0    0     0     4 23285 519186  4  4 92  0  0
25  0      0 390311648      0 485532    0    0     0    40 23407 832832  4  4 92  0  0
38  0      0 390312736      0 485540    0    0     4   308 22556 716533  4  4 92  0  0
36  0      0 390320032      0 485552    0    0     0     0 24014 276651  4  4 92  0  0
49  0      0 390320672      0 485556    0    0     0    16 23746 638763  4  4 92  0  0
44  0      0 390321888      0 485568    0    0     0     0 23894 940283  4  4 92  0  0
34  0      0 390309696      0 485572    0    0     0     8 25026 285517  4  3 92  0  0
 1  0      0 390311488      0 485584    0    0     0    44 23978 375706  4  4 92  0  0
 0  0      0 390309312      0 485680    0    0    16     4 10898 584097  2  2 96  0  0
 0  0      0 390415200      0 485560    0    0     0    16  465  458  0  0 100  0  0
 0  0      0 390416192      0 485568    0    0     0     0  652  622  0  0 100  0  0
 0  0      0 390417504      0 485628    0    0    36     0  853  664  0  0 100  0  0
