procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
63  0      0 390291584      0 419524    0    0     0    16 16343 95844  6  1 93  0  0
56  0      0 390292256      0 419524    0    0     0     0 16266 54519  6  1 93  0  0
82  0      0 390292000      0 419524    0    0     0     4 16090 54559  6  1 93  0  0
55  0      0 390290496      0 419524    0    0     0    40 15318 54491  6  1 93  0  0
60  0      0 390290240      0 419596    0    0     0    16 15510 55654  6  1 93  0  0
88  0      0 390289248      0 419596    0    0     0    20 16339 56379  6  2 93  0  0
49  0      0 390288736      0 419596    0    0     0     4 16747 57431  6  2 93  0  0
56  0      0 390287744      0 419596    0    0     0     0 16489 57021  6  2 93  0  0
60  0      0 390288736      0 419596    0    0     0     8 17146 58527  5  2 93  0  0
73  0      0 390288256      0 419756    0    0     0    40 17067 58492  6  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
62  0      0 390288512      0 419764    0    0     0     4 17080 59497  6  2 93  0  0
59  0      0 390288512      0 419772    0    0     0     0 17513 64311  6  2 93  0  0
66  0      0 390288512      0 419780    0    0     0    20 17693 62286  6  2 93  0  0
63  0      0 390288256      0 419796    0    0     0     0 17892 63310  6  2 93  0  0
76  0      0 390287520      0 419868    0    0     0     4 18001 64202  6  2 93  0  0
57  0      0 390287040      0 419880    0    0     0    60 18182 64941  5  2 93  0  0
48  0      0 390287040      0 419884    0    0     0     8 18374 66692  5  2 93  0  0
64  0      0 390286592      0 419896    0    0     0     0 19136 72314  5  2 93  0  0
56  0      0 390283552      0 419900    0    0     0    16 18782 72383  5  2 93  0  0
101  0      0 390282304      0 419912    0    0     0     0 21315 279366  5  2 93  0  0
90  0      0 390282304      0 419916    0    0     0     4 17975 263253  5  2 93  0  0
89  0      0 390282336      0 419928    0    0     0    40 20449 165731  5  2 93  0  0
51  0      0 390282592      0 419936    0    0     0     4 18838 202639  5  2 93  0  0
46  0      0 390282368      0 419944    0    0     0    16 18602 295580  5  2 93  0  0
58  0      0 390281120      0 419952    0    0     0     0 17042 247495  5  2 93  0  0
58  0      0 390281632      0 419964    0    0     0    12 20819 177249  5  2 93  0  0
83  0      0 390281408      0 419972    0    0     0    60 19735 365984  5  2 93  0  0
99  0      0 390281184      0 419980    0    0     0    40 19551 308605  5  2 93  0  0
63  0      0 390280704      0 419988    0    0     0     4 20744 160790  5  2 92  0  0
58  0      0 390280704      0 420000    0    0     0     0 22008 240821  5  2 93  0  0
50  0      0 390280960      0 420072    0    0     0    16 18384 161954  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
98  0      0 390280960      0 420084    0    0     0     0 21117 153911  5  2 92  0  0
16  0      0 390281216      0 420088    0    0     0     4 20750 231501  5  2 93  0  0
66  0      0 390280960      0 420100    0    0     0    44 20947 196030  5  2 93  0  0
104  0      0 390280768      0 420176    0    0     0    28 23322 218853  5  3 92  0  0
103  0      0 390280768      0 420188    0    0     0    20 22751 287392  5  3 92  0  0
58  0      0 390280512      0 420196    0    0     0    16 21269 447989  5  3 93  0  0
