Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780436868740,1780436898758,297315,297315,10087439,17122218,561152,7536639,12582911,77594623,239075327,562036735,662700031,0,0,0,0,0,297315,0,0,0,0,0,0,100
warmup,getAllFruits,1780436718729,1780436838758,1011362,1011362,11860247,21099513,557056,7897087,16515071,96468991,266338303,583008255,918552575,0,0,0,0,0,1011362,0,0,0,0,0,0,100
