Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780422492262,1780422522273,446971,446971,6707684,5047553,370688,5537791,13238271,23986175,34865151,52428799,114819071,0,0,0,0,0,446971,0,0,0,0,0,0,100
warmup,getAllFruits,1780422342253,1780422462277,1316881,1316881,9107860,14136451,350208,6782975,18087935,41156607,101711871,205520895,1627389951,0,0,0,0,0,1316881,0,0,0,0,0,0,100
