Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780425088430,1780425118443,462877,462877,6479198,2285505,868352,6946815,8847359,12255231,15794175,19660799,33161215,0,0,0,0,0,462877,0,0,0,0,0,0,100
warmup,getAllFruits,1780424938421,1780425058445,1659425,1659425,7227827,8470985,557056,7012351,9633791,25296895,77594623,228589567,935329791,0,0,0,0,0,1659425,0,0,0,0,0,0,100
