Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780429783416,1780429813478,101374,101374,29618775,31084800,1044480,22675455,66060287,149946367,225443839,312475647,350224383,0,0,0,0,0,101374,0,0,0,0,0,0,100
warmup,getAllFruits,1780429633405,1780429753459,326566,326566,36743641,42797536,1056768,26214399,87031807,190840831,320864255,851443711,872415231,0,0,0,0,0,326566,0,0,0,0,0,0,100
