Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780430719388,1780430749402,299800,299800,10004261,6842141,509952,8912895,13762559,40108031,58458111,94896127,599785471,0,0,0,0,0,299800,0,0,0,0,0,0,100
warmup,getAllFruits,1780430569379,1780430689406,1019602,1019602,11764971,21560409,507904,9043967,16711679,52166655,287309823,859832319,1669332991,0,0,0,0,0,1019602,0,0,0,0,0,0,100
