Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780438053862,1780438083886,273326,273326,10974895,20932381,614400,8847359,12910591,74973183,308281343,494927871,1266679807,0,0,0,0,0,273326,0,0,0,0,0,0,100
warmup,getAllFruits,1780437903852,1780438023883,956559,956559,12540542,25411388,593920,8912895,15466495,96468991,371195903,717225983,1291845631,0,0,0,0,0,956559,0,0,0,0,0,0,100
