Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	02/16/2026 	_x86_64_	(64 CPU)

01:10:28 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:11:35 PM  1000   3208104  233.00  131.00    0.00    0.00  364.00     0  quarkus3-runner
01:11:36 PM  1000   3208104  235.00  131.00    0.00    0.00  366.00     0  quarkus3-runner
01:11:37 PM  1000   3208104  233.00  132.00    0.00    0.00  365.00     0  quarkus3-runner
01:11:38 PM  1000   3208104  245.00  127.00    0.00    0.00  372.00     0  quarkus3-runner
01:11:39 PM  1000   3208104  232.00  133.00    0.00    0.00  365.00     0  quarkus3-runner
01:11:40 PM  1000   3208104  231.00  132.00    0.00    0.00  363.00     0  quarkus3-runner
01:11:41 PM  1000   3208104  234.00  131.00    0.00    0.00  365.00     0  quarkus3-runner
01:11:42 PM  1000   3208104  232.00  134.00    0.00    0.00  366.00     0  quarkus3-runner
01:11:43 PM  1000   3208104  232.00  131.00    0.00    0.00  363.00     0  quarkus3-runner
01:11:44 PM  1000   3208104  231.00  134.00    0.00    0.00  365.00     0  quarkus3-runner
01:11:45 PM  1000   3208104  239.00  132.00    0.00    0.00  371.00     0  quarkus3-runner
01:11:46 PM  1000   3208104  238.00  127.00    0.00    0.00  365.00     0  quarkus3-runner
01:11:47 PM  1000   3208104  235.00  129.00    0.00    0.00  364.00     0  quarkus3-runner
01:11:48 PM  1000   3208104  241.00  124.00    0.00    0.00  365.00     0  quarkus3-runner
01:11:49 PM  1000   3208104  236.00  128.00    0.00    0.00  364.00     0  quarkus3-runner
01:11:50 PM  1000   3208104  236.00  130.00    0.00    0.00  366.00     0  quarkus3-runner
01:11:51 PM  1000   3208104  237.00  132.00    0.00    0.00  369.00     0  quarkus3-runner
01:11:52 PM  1000   3208104  233.00  132.00    0.00    0.00  365.00     0  quarkus3-runner
01:11:53 PM  1000   3208104  234.00  132.00    0.00    0.00  366.00     0  quarkus3-runner
01:11:54 PM  1000   3208104  236.00  129.00    0.00    0.00  365.00     0  quarkus3-runner
01:11:55 PM  1000   3208104  234.00  129.00    0.00    0.00  363.00     0  quarkus3-runner
