Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780432144232,1780432174248,278949,278949,10752632,7487843,561152,9633791,14417919,48234495,84934655,112197631,230686719,0,0,0,0,0,278949,0,0,0,0,0,0,100
warmup,getAllFruits,1780431994223,1780432114251,976299,976299,12286778,14745151,573440,9437183,18087935,68157439,146800639,595591167,1107296255,0,0,0,0,0,976299,0,0,0,0,0,0,100
