Phase,Metric,Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus,MinSessions,MaxSessions
loadTest,getAllFruits,1780438965555,1780438995638,64710,64710,46421296,60571837,1449984,25034751,120061951,295698431,425721855,511705087,671088639,0,0,0,0,0,64710,0,0,0,0,0,0,100
warmup,getAllFruits,1780438815547,1780438935601,259739,259739,46194673,59577338,1425408,25952255,115867647,295698431,432013311,534773759,671088639,0,0,0,0,0,259739,0,0,0,0,0,0,100
