procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 391127712      0 287344    0    0     1     1    0    0  0  0 100  0  0
 3  0      0 391026880      0 346996    0    0 59752    12 8627 7323  5  0 94  1  0
 1  0      0 390936064      0 355400    0    0  7856   912 12045 7172  4  1 96  0  0
 3  0      0 390912320      0 358460    0    0  3132     0 10816 4199  4  1 95  0  0
 2  0      0 390931360      0 370584    0    0 13780    24 5830 7195  4  0 96  0  0
 1  0      0 390859840      0 383120    0    0 12552    32 3753 5018  3  0 97  0  0
 0  0      0 390796896      0 386300    0    0  3216   208 2664 2210  2  0 98  0  0
 3  0      0 390768992      0 387660    0    0  1500   616 2622 4617  2  0 98  0  0
 7  0      0 390753088      0 388976    0    0   760    12 8488 21184  6  0 93  0  0
 8  0      0 390693120      0 388984    0    0   208     4 10280 28088  6  1 93  0  0
 8  0      0 390688192      0 389240    0    0     4     4 12380 38327  7  1 92  0  0
 6  0      0 390664000      0 389268    0    0    16    44 14438 54141  7  1 92  0  0
 7  0      0 390663232      0 389324    0    0    48    80 15457 65389  6  1 92  0  0
 6  0      0 390656448      0 389396    0    0    60     8 17235 71465  6  2 92  0  0
 6  0      0 390638560      0 389404    0    0     0    16 16330 73867  6  1 93  0  0
 7  0      0 390623936      0 389412    0    0     0     0 13805 61884  6  1 93  0  0
 7  0      0 390622688      0 389424    0    0     0     4 15933 78541  6  2 92  0  0
 6  0      0 390620928      0 389428    0    0     0    76 16886 86911  6  2 92  0  0
 7  0      0 390620768      0 389440    0    0     0    36 18715 93288  6  2 92  0  0
 6  0      0 390619584      0 389444    0    0     0    16 20424 102461  6  2 92  0  0
 7  0      0 390618080      0 389456    0    0    16     0 19989 96708  6  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 390617440      0 389528    0    0     0    72 19529 103172  6  2 92  0  0
 7  0      0 390616352      0 389540    0    0     0     4 16496 97584  6  2 92  0  0
 8  0      0 390616256      0 389544    0    0     0    40 24360 124816  6  2 92  0  0
 6  0      0 390614944      0 389556    0    0     0     4 27245 136002  6  3 92  0  0
 6  0      0 390597760      0 389564    0    0     0     0 32167 166304  6  3 91  0  0
 8  0      0 390599200      0 389644    0    0     0    16 36579 227312  5  5 90  0  0
 6  0      0 390607840      0 389652    0    0     0     0 37974 233525  5  4 90  0  0
 8  0      0 390605696      0 389660    0    0    12    36 43110 218272  5  4 90  0  0
 5  0      0 390609600      0 389672    0    0     0    44 41359 220660  5  5 90  0  0
 6  0      0 390613856      0 389676    0    0     0     4 40333 228230  5  5 90  0  0
 7  0      0 390617056      0 389688    0    0     0     0 37189 233650  5  5 90  0  0
 7  0      0 390622944      0 389696    0    0     0   100 36402 235098  5  5 90  0  0
 6  0      0 390629088      0 389704    0    0     0     0 36880 229513  5  5 90  0  0
 8  0      0 390626304      0 389712    0    0     0     4 36401 231743  5  5 90  0  0
 6  0      0 390624416      0 389720    0    0     0    40 36108 240890  5  5 90  0  0
 6  0      0 390629664      0 389796    0    0     0     4 37416 235622  5  5 90  0  0
 8  0      0 390633024      0 389804    0    0    32     0 38198 236972  5  5 90  0  0
 7  0      0 390632576      0 389812    0    0    36   320 38160 229848  5  5 90  0  0
 5  0      0 390629664      0 389820    0    0     0    32 38572 233971  5  4 90  0  0
 8  0      0 390625536      0 389828    0    0     0     4 40232 225915  5  5 90  0  0
 7  0      0 390628832      0 389840    0    0     0   116 40369 222299  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 390631104      0 389844    0    0     0     4 42896 213708  5  5 90  0  0
 7  0      0 390634528      0 389860    0    0     0     0 40172 224152  5  5 90  0  0
 7  0      0 390635872      0 389864    0    0     0    16 37720 228647  5  5 90  0  0
 5  0      0 390636256      0 389876    0    0     0     0 41824 221883  5  5 90  0  0
 7  0      0 390630240      0 392432    0    0     4     4 37236 233089  5  5 90  0  0
 6  0      0 390630272      0 392444    0    0     0   516 41026 224141  5  5 90  0  0
 6  0      0 390630528      0 392456    0    0     0   408 40096 224226  5  5 90  0  0
